targetDate,publicationDate,sourcePdfName,sourcePdfUrl,spotVolume,volumeChange,volumeChangePct,avg20,vs20,vs20Pct,close,open,high,low,priceChangePct
2026-07-28,2026-07-29,fx260729.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260729.pdf,2254,-211,-8.56,3192,-938,-29.39,163.87,163.71,163.96,163.64,0.07
2026-07-27,2026-07-28,fx260728.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260728.pdf,2465,-477,-16.21,3180,-715,-22.48,163.75,163.7,163.82,163.32,-0.06
2026-07-24,2026-07-27,fx260727.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260727.pdf,2942,252,9.37,3197,-255,-7.98,163.85,163.86,163.97,163.64,-0.01
2026-07-23,2026-07-24,fx260724.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260724.pdf,2690,-933,-25.75,3217,-527,-16.38,163.86,163.14,164,162.99,0.44
2026-07-22,2026-07-23,fx260723.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260723.pdf,3623,737,25.54,3204,419,13.08,163.14,163.17,163.24,162.79,-0.02
2026-07-21,2026-07-22,fx260722.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260722.pdf,2886,-366,-11.25,3221,-335,-10.4,163.18,162.51,163.25,162.43,0.42
2026-07-17,2026-07-21,fx260721.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260721.pdf,3252,381,13.27,3228,24,0.74,162.39,162.39,162.52,162.13,0
2026-07-16,2026-07-17,fx260717.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260717.pdf,2871,119,4.32,3231,-360,-11.14,162.39,162.19,162.56,161.98,0.12
2026-07-15,2026-07-16,fx260716.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260716.pdf,2752,-112,-3.91,3271,-519,-15.87,162.19,162.22,162.43,161.89,-0.04
2026-07-14,2026-07-15,fx260715.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260715.pdf,2864,-581,-16.87,3236,-372,-11.5,162.25,162.44,162.48,161.63,-0.12
2026-07-13,2026-07-14,fx260714.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260714.pdf,3445,-1245,-26.55,3269,176,5.38,162.44,161.69,162.5,161.61,0.46
2026-07-10,2026-07-13,fx260713.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260713.pdf,4690,2163,85.6,3286,1404,42.73,161.7,162.38,162.4,161.27,-0.42
2026-07-09,2026-07-10,fx260710.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260710.pdf,2527,-318,-11.18,3208,-681,-21.23,162.39,162.59,162.67,162.25,-0.12
2026-07-08,2026-07-09,fx260709.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260709.pdf,2845,-92,-3.13,3196,-351,-10.98,162.59,162.11,162.71,162.06,0.3
2026-07-07,2026-07-08,fx260708.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260708.pdf,2937,-337,-10.29,3194,-257,-8.05,162.11,162.09,162.2,161.68,0.01
2026-07-06,2026-07-07,fx260707.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260707.pdf,3274,13,0.4,3225,49,1.52,162.09,161.36,162.44,161.27,0.44
2026-07-03,2026-07-06,fx260706.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260706.pdf,3261,-1377,-29.69,3199,62,1.94,161.38,161.1,161.53,160.52,0.17
2026-07-02,2026-07-03,fx260703.pdf,https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/fx260703.pdf,4638,2312,99.4,3156,1482,46.96,161.1,162.61,162.64,160.64,-0.9
